pays,paysEn,a2010,a2016,a2017,a2018,a2019,a2020,a2021,a2022,a2023
Maroc,Morocco,22157,25698,28479,30634,33455,28763,33395,37371,35123
Algérie,Algeria,23804,27658,30003,28948,27745,23846,25903,29682,32614
Tunisie,Tunisia,11775,14076,15010,17674,18662,15100,17025,22165,22641
Cote d'Ivoire,Ivory Coast,4152,5707,6508,7530,9703,9094,11346,11594,13275
Afghanistan,Afghanistan,418,1943,5359,5833,6284,5914,9305,11461,12053
Sénégal,Senegal,5038,6033,7463,8274,8341,7241,7999,8457,10203
Guinée,Guinea,2471,3567,3730,4495,6192,6675,8774,8356,9628
Chine,China,13226,12727,11872,11494,10058,6968,7209,7638,8181
Cameroun,Cameroon,4537,4272,4621,4927,5466,5097,6620,7146,8103
Liban,Lebanon,1269,1783,1914,2051,2543,4078,6409,7057,7923
Inde,India,2627,4389,5222,6836,6849,4040,5260,6984,7853
Turquie,Turkey,6412,4414,4392,4232,4449,3740,5116,6672,6404
Mali,Mali,5419,4585,4491,4608,4782,4951,6287,6030,5478
Russie,Russia,4784,5618,5637,5060,4728,3200,3986,5848,5236
États-Unis,United States,3886,4143,4354,4655,4160,2929,4350,5164,5217
Comores,Comoros,2890,4704,4594,5569,5745,4563,4062,4999,4950
Brésil,Brazil,3989,4092,4358,4797,4406,3156,3786,4791,4768
Congo (Brazzaville),Congo (Brazzaville),2790,2558,2756,2826,3197,3108,4503,4268,4674
Congo RDC,Congo DRC,3958,5058,5109,4617,4635,3402,3914,4199,4581
Syrie,Syria,596,4404,5791,5553,5492,3441,3721,3501,4431
Madagascar,Madagascar,2962,2450,2600,2628,3028,2489,2738,3420,4265
Bangladesh,Bangladesh,678,2713,2731,2805,2885,2483,3511,3405,3921
Haïti,Haiti,5942,2737,2843,2882,2814,1809,2772,3022,3897
Benin,Benin,854,1397,1368,1751,2062,1913,2659,2902,3789
Albanie,Albania,390,1869,2354,2641,2966,2160,2569,2745,2966
Autres nationalités,Other nationalities,47357,59664,64106,66090,66419,51733,58368,64007,67055
Total (toutes nationalités),Total (all nationalities),184429,218354,237741,249474,257137,211255,251650,282957,299229
